,missing_count,missing_pct,nan_means_absence
PoolQC,1453,99.52,True
MiscFeature,1406,96.3,True
Alley,1369,93.77,True
Fence,1179,80.75,True
MasVnrType,872,59.73,True
FireplaceQu,690,47.26,True
LotFrontage,259,17.74,False
GarageType,81,5.55,True
GarageYrBlt,81,5.55,False
GarageFinish,81,5.55,True
GarageQual,81,5.55,True
GarageCond,81,5.55,True
BsmtExposure,38,2.6,True
BsmtFinType2,38,2.6,True
BsmtQual,37,2.53,True
BsmtCond,37,2.53,True
BsmtFinType1,37,2.53,True
MasVnrArea,8,0.55,False
Electrical,1,0.07,False
